name,date,dateSeen,numHelpful,rating,text,title
Amazon Fire Tv,2017-09-06 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Alexa is a great addition to the household. Very user friendly and so many questions/commands to be used.,Great Family Edition!
Amazon Fire Tv,2017-09-06 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,I could not be happier with the functionality of Alexa. She also has a great sense of humor.,Love Alexa
Amazon Fire Tv,2017-09-06 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"I bought the Echo for my wife. She absolutely loves it! She mostly has it play music, but even the grandkids like to ask it questions like jokes.",My wife loves it!
Amazon Fire Tv,2017-09-05 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Use mainly to listen to music through Amazon prime.,These are great
Amazon Fire Tv,2017-09-05 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,They make the perfect gift. I give them out to may customers every year.,Love them!
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,One of the best purchases I have bought. I love this speaker and all the things it can do,Best purchase
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Great product for listening to Pandora and Amazon music,Great product
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"I wasn't sure if I needed this, since I heard some are good some are not worth it if you own a smart phone! But, I bought one anyway! I now own two Alexa's. One for the living room and one for my bedroom. I love the simplicity of having two!!",Great for news!
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"Our entire family is loving the Echo, easy to use, very smart, and sounds great..",Great sound
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Just as advertised. Bought two units for different areas.,Great product
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Can be educational and lots of fun too. A variety of uses for Alexa.,Great item
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,This is the best assistant on the market. Voice recognition is great.,Amazon Echo
Amazon Fire Tv,2017-09-15 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,2.0,Doesn't understand anything I ask and not very good at answering questions.I am extremely disappointed.,Not very happy
Amazon Fire Tv,2017-09-09 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,4.0,Really neat tool. We bought it for a neighbor and he is excited to have it.,Awesome robot
Amazon Fire Tv,2017-09-09 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,I love it! It's simple and easy! I love how you can take anywhere and Alexa listens to you right away!,Amazing qualit
Amazon Fire Tv,2017-09-09 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,I loved the amazon echo. Been wanting one since it came out and broke down and got it. Great choice,Echo
Amazon Fire Tv,2017-09-09 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,This has met all my expectations and they are continually adding features to Alexa without any updating or upgrading by me.,Nice tool to have available
Amazon Fire Tv,2017-09-09 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"I love my Alexa! I renamed her Computer because of Star Trek. We have so much fun listening to music, playing games and telling her to clean the house with our Neato botvac or turn on the sprinklers with our Rachio irrigation controller. As we learn more cool things this personal assistant can do the happier I am we purchased one. We like it so much we purchased another for our bedroom and a Dot for our daughters room. They work together as an intercom system too so no more yelling for one another or texting, admit it, you do it too, we can now just drop in and talk to one another. I am planning to continue purchasing items that Alexa can control and look forward to the advancement in personal assistant technology. So many things she can do already!!! I highly recommend getting 1 or 2 or 3!!!",Alexa for the win!!!
Amazon Fire Tv,2017-09-09 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"Love the Echo so much. It really answers your questions, love the skills, and love the music.",Love the interaction.
Amazon Fire Tv,2017-09-08 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"Every time I ask Alexa for something, my 2 year old grandson runs over and tries to pronounce her name, he's almost there, hopefully he'll have a question for her as well. He likes dancing to the nursery rhymes that I ask her to play for him.",Great for kids
Amazon Fire Tv,2017-09-08 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Great gift for the whole family. I like the music most of all. Tells jokes and answers all your questions. Bought one for a gift and one for myself.,Helpful gift
Amazon Fire Tv,2017-09-10 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"Don't know what took me so long to try this out. Easy set up, many skills to choose from and has not failed me. I just set the calendar up and loving that along with how well Alexa integrated with my two WEMO mini plugs. I purchased a second one a week later. The sound is amazing.",Excellent Purchase
Amazon Fire Tv,2017-09-10 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"I love this Echo. I can get football schedules and scores in a matter of seconds! I also use it to stream my SiriusXM radio, play relaxing meditations and music, and play games. I even had it sing ""Happy Birthday"" to my mom. Definitely a great purchase.",I love my Echo
